objid,ra,dec,mag_u,mag_g,mag_r,mag_i,mag_z,z_spec
1237648720142401611,146.71421,-1.0413043,16.91713,15.3146,14.55245,14.14041,13.83297,0.02122228
1237650795146510627,146.74413,-0.65219064,20.97757,18.85416,17.52073,17.00673,16.65681,0.2037833
1237650795146445031,146.62857,-0.76513683,19.18432,17.34647,16.50649,16.07855,15.75247,0.06465632
1237648720142401670,146.63167,-0.98827781,19.26245,18.15352,17.72428,17.43797,17.35491,0.05265425
1237648720142532891,146.91945,-0.99049175,20.18201,18.45391,17.33205,16.8984,16.59294,0.2138606
1237650795146510903,146.76339,-0.81043316,25.0821,21.21467,19.49395,18.71828,18.2391,0.4482199
1237648720142401774,146.62282,-0.95138526,21.9905,20.18502,18.41305,17.86762,17.4808,0.3711277
1237650795146576091,146.9341,-0.67040397,19.59875,17.7144,16.65466,16.21713,15.83409,0.1212705
1237650795146641532,146.9635,-0.75935173,20.00916,18.2669,17.44814,17.0816,16.8143,0.09708638
1237650795146576030,146.85983,-0.80890165,20.53679,18.46119,17.18082,16.61607,16.14976,0.1265899
1237650795146444862,146.59272,-0.76025604,18.75872,17.37204,16.80558,16.45321,16.25484,0.06495924
1237650795146575935,146.8577,-0.66285236,19.55604,18.06373,17.42464,17.06781,17.04945,0.08429205
1237651800158896649,146.72794,-0.55687994,20.32453,18.16997,17.24904,19.23864,16.3107,0.08931196
1237650794609574093,146.60721,-1.240753,18.87852,17.14253,16.25787,15.85993,15.58484,0.0906017
1237648720679469274,147.18679,-0.49381256,19.24002,17.42131,16.47397,15.96551,15.5824,0.09031707
1237648721216274697,147.02336,-0.16009352,20.05926,18.54537,17.55171,17.11236,16.74929,0.2156694
1237650795683512507,146.95607,-0.34230044,20.45287,18.47586,17.30816,16.80804,16.42223,0.1346802
1237648721216340148,147.11461,-0.16521837,20.61418,18.64001,17.32523,16.84127,16.46312,0.2040574
1237650795683578073,147.22569,-0.29262062,19.88781,17.81252,16.93885,16.50875,16.19253,0.1336352
1237648721216405657,147.24805,-0.035723556,20.0083,17.79774,16.8131,16.35178,16.00576,0.08419658
1237648721216274720,146.92403,-0.10514302,23.87711,20.47393,18.66527,18.02328,17.69226,0.3275724
1237650795683446969,146.9201,-0.30646208,19.54321,18.10526,17.17534,16.75369,16.44298,0.1314801
1237650796220514489,147.32951,0.028902695,17.66615,16.05884,15.35553,14.97874,14.68476,0.04808582
1237650795683512955,147.08969,-0.26650926,24.3184,21.0648,19.34117,18.70091,18.23385,0.3829364
1237650795683512690,147.03779,-0.26659122,19.71336,18.47683,17.79567,17.47885,17.35371,0.1232099
1237648720142336237,146.57134,-0.95721148,18.31783,16.87568,16.134,15.70531,15.38338,0.06518305
1237651799621959987,146.56561,-1.0847419,19.89499,24.72177,19.05361,23.68423,21.83508,0.09755617
1237650795146379400,146.36033,-0.81665691,19.82744,18.07452,17.06959,16.65308,16.32438,0.1274091
1237648720142270656,146.43281,-0.98737835,20.18616,18.22426,17.17902,16.75528,16.4166,0.1404723
1237650794609442930,146.32349,-1.1808359,19.37356,17.68393,16.98703,16.67323,16.46485,0.08926281
1237648720142336185,146.51283,-0.84576492,17.10778,15.97345,15.35928,14.95238,14.70755,0.06490172
1237650795146314028,146.31179,-0.81320921,20.98399,19.04605,17.71411,17.20872,16.88629,0.2058383
1237650795146379447,146.44831,-0.71339967,18.6973,17.67905,17.17182,16.75752,16.60883,0.1146793
1237651799621959813,146.57273,-1.0608357,18.56601,24.23518,17.70697,23.2045,24.31043,0.0606144
1237650795146379491,146.36894,-0.66824731,21.33747,19.24956,17.71071,17.15136,16.81713,0.2711954
1237650795683446896,146.85757,-0.21877608,20.16672,18.28552,17.23464,16.77991,16.44387,0.1246121
1237650795683446947,146.90125,-0.4131573,19.38098,17.67291,16.80871,16.39085,16.04836,0.05654794
1237650795683447026,146.84292,-0.39093546,22.49483,21.42976,19.69256,18.78096,18.14892,0.454208
1237648720679338392,146.86816,-0.48679252,19.78917,18.52489,17.63401,17.15143,16.8713,0.08326827
1237648720679338241,146.86432,-0.46407191,18.59669,17.42266,16.87307,16.4919,16.29637,0.06510994
1237648720679338261,146.89158,-0.51266153,20.6493,18.52789,17.57817,17.06277,16.69417,0.08389291
1237648720679338252,146.8833,-0.49469887,18.04786,16.41939,15.49355,15.00602,14.65433,0.08376556
1237648721216209095,146.85967,-0.098938627,19.77663,18.42827,17.64552,17.20218,16.89898,0.1253916
1237650795683446889,146.85676,-0.27404021,19.07446,18.04848,17.68005,17.50921,17.33595,0.02196459
1237650796220252232,146.76078,0.015978141,20.4296,17.9843,17.02362,16.48773,16.21612,0.1249016
1237650795683447045,146.90232,-0.31366176,19.53842,17.62903,16.68861,16.25141,15.93586,0.1314198
1237650795683381563,146.77711,-0.24198689,20.45951,18.64162,17.75139,17.35345,17.06487,0.1308193
1237648721216209489,146.89733,-0.18636779,22.33755,20.85311,18.90989,18.30052,17.93788,0.370904
1237650796220317797,146.80914,0.026384187,19.60085,17.47279,16.32306,15.82701,15.42062,0.1260304
1237648721216209266,146.75599,-0.16821182,19.54671,18.13477,17.55116,17.26461,17.14569,0.06244991
1237648721216209055,146.81199,-0.19004646,19.0027,17.08439,16.23439,15.84235,15.52789,0.06215091
1237654670271971603,148.90844,0.0087633028,19.80891,18.15094,17.28818,16.81542,16.50426,0.08472473
1237648721217126584,148.85664,-0.059159696,19.25369,17.29263,16.34504,15.92828,15.56043,0.08821983
1237648720680190467,148.75351,-0.59619364,22.73701,21.22031,19.4485,18.63363,18.13999,0.4689867
1237651800696750245,148.87361,-0.29058415,19.21351,17.78284,17.04884,16.68807,16.45522,0.1354369
1237648721217126725,148.97947,-0.19030594,18.37407,16.42882,15.52029,15.00522,14.5622,0.02094694
1237648721217061098,148.84251,-0.044114155,19.82087,17.83913,16.85965,16.40203,16.01934,0.08525094
1237648721217127046,148.88621,-0.037319689,24.046,20.5319,18.7637,18.04033,17.66155,0.4139843
1237648720680255563,148.87996,-0.46726397,18.15669,16.34949,15.55511,15.17542,14.86262,0.03220713
1237648721217061052,148.79165,-0.021022616,19.52004,17.95037,17.12532,16.64959,16.31084,0.08521271
1237648721217126671,148.95363,-0.097142812,17.41541,15.47794,14.5527,14.14943,13.80688,0.08395238
1237648720680255541,148.84821,-0.5873222,20.01523,18.16135,17.13762,16.69405,16.36711,0.137758
1237648721217061100,148.84264,-0.078736738,19.04514,17.72177,17.13233,16.78095,16.57159,0.08793307
1237648721217126813,148.87511,-0.064060118,23.33771,20.75527,18.96553,18.28272,17.81263,0.4215514
1237648721217061050,148.77557,-0.14121193,19.82925,17.87661,16.9899,16.58015,16.28908,0.07679157
1237651801233555754,148.81068,0.16484644,20.1608,18.42952,17.35668,16.85995,16.53598,0.2148981
1237648721217126706,148.95481,-0.0020917873,19.31216,18.1539,17.50267,17.14386,16.8958,0.1248562
1237648721217126647,148.91534,-0.096735712,21.22119,19.6346,18.12639,17.55499,17.19017,0.2160396
1237650794610229565,148.13724,-1.1731878,22.793,20.0761,18.27219,17.6955,17.37,0.3273709
1237648720143057096,148.21427,-1.0016697,20.02776,18.19573,17.27523,16.88311,16.53964,0.09255239
1237650794610163873,147.94455,-1.22337,19.44564,17.82483,16.92514,16.48059,16.13942,0.1219072
1237651799622680817,148.09525,-1.1431802,19.02558,17.84829,17.46753,17.20477,17.07965,0.04876426
1237648720142925900,147.92786,-0.95696057,20.94237,18.70871,17.64118,17.18198,16.77424,0.09202483
1237648720143057136,148.12154,-1.0319943,19.89114,18.25347,17.1715,16.69194,16.31582,0.1621596
1237650794610229383,148.01223,-1.2109547,18.82323,16.9262,15.9939,15.56622,15.23585,0.08558311
1237650794610294829,148.2123,-1.1734604,18.81861,17.23344,16.42091,15.98193,15.67036,0.08359117
1237651799622615076,147.99099,-1.1068001,18.05134,17.00702,16.59945,16.21234,16.14841,0.07459193
1237650795147100365,148.06218,-0.66082464,20.23473,18.37431,17.3538,16.9202,16.57082,0.1330491
1237648720142991541,148.00631,-1.0176983,19.5484,17.85559,16.99743,16.56956,16.21285,0.108012
1237650795147100370,148.0682,-0.70477622,19.38512,17.41812,16.53127,16.1274,15.81467,0.06630035
1237650795147165977,148.15747,-0.82559275,22.39799,20.68807,19.00624,18.36777,17.93282,0.3742605
1237650795147100328,148.00219,-0.78406217,19.54793,18.1934,17.55228,17.20347,16.95323,0.132866
1237648720142991613,147.96518,-0.94934334,19.55307,18.28987,17.66583,17.36675,17.11037,0.09229714
1237650795147100331,148.00553,-0.76804989,19.89507,17.9723,16.99981,16.58286,16.28933,0.1390814
1237648720142991573,148.04897,-0.85206301,19.65836,17.68729,16.83916,16.40685,16.04932,0.1332475
1237651799622615229,148.03294,-1.1427995,19.5121,17.65056,16.96183,16.60078,16.38051,0.08339076
1237648721216995550,148.65027,-0.059539396,22.45069,20.44111,18.63682,18.00605,17.60866,0.3902021
1237648721216995401,148.54937,-0.066125284,18.20039,17.21632,16.89631,16.65542,16.47585,0.0475889
1237648720680059016,148.47822,-0.54423455,19.95351,18.03268,17.17868,16.79492,16.47565,0.08953901
1237654669735035184,148.67172,-0.37126581,20.7007,18.67181,17.57673,17.13307,16.81031,0.1626469
1237651800696553620,148.42037,-0.23196749,20.07626,18.11987,17.07078,16.6803,16.30325,0.1268489
1237651800696619278,148.58493,-0.31146803,19.1854,18.03532,17.71761,17.65121,17.49928,0.02968988
1237648721216930023,148.50575,-0.11386407,19.99482,18.30699,17.33906,16.94216,16.63123,0.1273127
1237648720680124693,148.65765,-0.59984333,19.15926,17.51993,16.55113,16.10938,15.78708,0.1642405
1237651801233555601,148.72889,0.18885939,19.05856,17.90733,17.4417,17.11434,17.00559,0.0944446
1237648721216929817,148.43474,-0.090464332,17.9615,16.65684,16.08364,15.67463,15.50239,0.08368891
1237648721216995421,148.59294,-0.19599728,20.41897,18.48168,17.23883,16.75012,16.39169,0.2135797
1237648721216995497,148.67968,-0.025100879,18.37944,17.33005,16.87703,16.53944,16.43235,0.0842066
1237651801233490073,148.60004,0.12917036,20.44742,18.0382,17.10752,16.62745,16.30488,0.1509164
1237651801233490056,148.58999,0.15324382,19.40656,17.97264,17.22219,16.81477,16.53883,0.1504635
1237654670271905831,148.69239,0.042002604,19.32169,18.58462,18.28859,17.96575,18.02023,0.103538
1237654669735035129,148.72793,-0.37073055,19.52886,17.33121,16.09202,15.61285,15.21576,0.1642064
1237654669735035263,148.68383,-0.34381083,19.67156,18.59721,17.62982,17.19508,16.95805,0.2063607
1237648720679927908,148.10352,-0.46224293,19.29676,18.11962,17.55281,17.22103,16.99751,0.106981
1237651800696422621,148.21834,-0.27664619,19.98007,18.31638,17.48085,17.10662,16.83043,0.08190352
1237648720679993865,148.28484,-0.61908774,24.19327,20.94968,19.07517,18.34953,17.91066,0.4208838
1237648721216798768,148.18303,-0.058259826,16.37765,15.19714,14.66644,14.35767,14.1257,0.04565335
1237648720679927941,148.13318,-0.52455899,19.50804,17.34025,16.15907,15.68034,15.29281,0.1458599
1237650795683971362,148.13563,-0.3423445,19.51911,17.62342,16.74522,16.32594,16.03312,0.06543949
1237648720679927920,148.11417,-0.49295285,20.04475,18.32253,17.2721,16.81442,16.47441,0.1071957
1237651801233359018,148.32486,0.11508665,20.46745,18.71756,17.58583,17.11277,16.80487,0.1636057
1237648721216929936,148.40568,-0.041013942,18.63103,17.51035,16.97499,16.5358,16.36567,0.1110355
1237651801233358961,148.24054,0.11791934,18.79264,17.52189,17.02397,16.66818,16.49372,0.08234423
1237648721216864397,148.34596,-0.16596411,18.9539,17.52043,16.72717,16.32056,16.03442,0.1462476
1237650796220907786,148.28257,0.048570229,20.22968,18.49537,17.52668,17.11261,16.77711,0.1457711
1237648721216864523,148.35715,-0.019001911,23.37475,20.45478,18.75864,18.10208,17.68398,0.4019222
1237650795683971340,148.12516,-0.41786911,17.89392,16.42196,15.7076,15.33967,15.04811,0.05177494
1237648721216798935,148.23615,-0.17441482,20.18233,18.25274,17.16298,16.7204,16.34915,0.1457738
1237648721216733511,148.08477,-0.14661638,19.19518,18.09824,17.14056,16.72265,16.45855,0.2274882
1237648721216667792,147.8307,-0.17603576,18.67867,17.73642,17.27697,17.12827,16.99994,0.03704123
1237650796220711070,147.72827,0.13585898,19.29697,17.82849,17.16106,16.80639,16.57327,0.08011292
1237651800696291634,147.92467,-0.23894113,19.93698,18.57355,17.88558,17.45364,17.19432,0.06465202
1237648721216733267,148.05021,-0.086273806,22.57824,20.54902,18.8718,18.21409,17.82552,0.3271964
1237651800696291905,147.8615,-0.26639602,23.6982,21.03585,19.20786,18.63448,18.24197,0.3713124
1237648721216667824,147.86306,-0.16839547,18.61872,17.52866,16.97428,16.59369,16.36702,0.1258022
1237651800696292136,147.93709,-0.27135387,23.23861,20.24173,18.60737,17.95628,17.51561,0.421389
1237650796220711125,147.78785,0.0098501986,19.305,17.59564,16.7758,16.32363,16.01828,0.1327755
1237651800696291624,147.90346,-0.3177735,18.91123,17.30572,16.50532,16.1063,15.81327,0.0792563
1237650796220711045,147.69322,0.13053617,19.8424,18.25899,17.54437,17.16613,16.94072,0.06914463
1237648721216667817,147.85775,-0.04388436,19.50482,18.23893,17.74284,17.43573,17.21847,0.07448252
1237651800696291621,147.89962,-0.21525091,19.91281,18.33953,17.4995,17.05896,16.73708,0.08503481
1237650796220711128,147.79347,0.12325749,19.60788,17.82715,16.93058,16.54142,16.24614,0.0927944
1237650796220711085,147.73989,0.15970833,19.10622,17.42404,16.77962,16.48629,16.28082,0.08043766
1237648721216733449,148.07759,-0.12739408,18.85556,17.0081,16.16971,15.77977,15.46734,0.06468253
1237650796220711149,147.81045,0.046493486,19.40907,18.20711,17.4856,17.06065,16.79126,0.1333251
1237650796220711092,147.74868,0.11584035,19.82915,18.08988,17.24972,16.86702,16.58038,0.08062341
1237650796220711116,147.77579,0.05411649,19.32445,18.19106,17.67025,17.33278,17.17706,0.08020487
1237651799622418681,147.63101,-1.1331063,22.89355,20.58151,18.77958,18.1445,17.92225,0.3369062
1237648720142860497,147.7552,-0.86806671,20.10757,18.19558,17.20818,16.80605,16.45457,0.09103828
1237648720142926003,147.87054,-0.95820669,19.18403,17.77893,16.90271,16.4354,16.10653,0.1610499
1237648720142860587,147.70857,-0.88775026,21.68559,18.92747,17.3455,16.80661,16.42855,0.2714575
1237650795146969334,147.79717,-0.77937724,19.64698,17.86912,17.03417,16.65243,16.37081,0.05731707
1237650794610163857,147.90662,-1.1703902,19.10154,17.90083,17.35687,17.06043,16.88664,0.06287614
1237651799622549745,147.80667,-1.1099,22.45074,20.85567,19.20726,18.44236,18.07997,0.4774458
1237650794610098369,147.78838,-1.2410359,19.7784,18.401,17.59632,17.16702,16.87388,0.1277621
1237648720142925946,147.80753,-0.88459728,18.43237,16.97739,16.2827,15.95213,15.68467,0.09133799
1237650795146969395,147.72206,-0.69100875,19.39511,18.16019,17.45276,17.07523,16.82208,0.1388665
1237650795146969196,147.80929,-0.72849148,18.51762,17.05431,16.37779,15.96935,15.67374,0.03680692
1237650795146969287,147.74008,-0.74340141,20.54297,18.63837,17.534,17.06294,16.74542,0.1610515
1237650795146969400,147.72786,-0.83489403,21.67524,19.29127,17.83147,17.30286,16.94628,0.2684138
1237650795146969277,147.73297,-0.72031643,20.27694,18.44613,17.3342,16.88449,16.54263,0.1604183
1237648720142860424,147.65921,-1.0037984,18.11201,16.90712,16.44797,16.14445,15.95315,0.03727411
